Table Names,Row ID,Order ID,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Product ID,Category,Sub-Category,Sales,Quantity,Profit,Order Date,Ship Date,Region,Product Name,Discount
Orders_East.xlsx/Orders_East,24,US-2018-156909,Second Class,SF-20065,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,19140,FUR-CH-10002774,Furniture,Chairs,71.37,2,-1.0196,16-07-18 0:00,18-07-18 0:00,East,"Global Deluxe Stacking Chair, Gray",0.3
Orders_East.xlsx/Orders_East,29,US-2016-150630,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,OFF-BI-10000474,Office Supplies,Binders,9.61,2,-7.0532,17-09-16 0:00,21-09-16 0:00,East,Avery Recycled Flexi-View Covers for Binding Systems,0.7
Orders_East.xlsx/Orders_East,33,US-2016-150630,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,OFF-BI-10001525,Office Supplies,Binders,6.85,6,-5.715,17-09-16 0:00,21-09-16 0:00,East,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",0.7
Orders_East.xlsx/Orders_East,199,US-2018-124303,Standard Class,FH-14365,Fred Hopkins,Corporate,United States,Philadelphia,Pennsylvania,19120,OFF-BI-10000343,Office Supplies,Binders,2.94,2,-2.2586,06-07-18 0:00,13-07-18 0:00,East,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",0.7
Orders_East.xlsx/Orders_East,216,CA-2016-146262,Standard Class,VW-21775,Victoria Wilson,Corporate,United States,Medina,Ohio,44256,TEC-MA-10000864,Technology,Machines,1188,9,-950.4,02-01-16 0:00,09-01-16 0:00,East,Cisco 9971 IP Video Phone Charcoal,0.7
Orders_East.xlsx/Orders_East,222,CA-2016-169397,First Class,JB-15925,Joni Blumstein,Consumer,United States,Dublin,Ohio,43017,OFF-BI-10002852,Office Supplies,Binders,24,4,-13.8432,24-12-16 0:00,27-12-16 0:00,East,Ibico Standard Transparent Covers,0.7
Orders_East.xlsx/Orders_East,224,CA-2016-169397,First Class,JB-15925,Joni Blumstein,Consumer,United States,Dublin,Ohio,43017,TEC-MA-10001148,Technology,Machines,252,4,-383.9904,24-12-16 0:00,27-12-16 0:00,East,Swingline SM12-08 MicroCut Jam Free Shredder,0.7
Orders_East.xlsx/Orders_East,331,US-2017-141544,First Class,PO-18850,Patrick O'Brill,Consumer,United States,Philadelphia,Pennsylvania,19143,OFF-BI-10001524,Office Supplies,Binders,28,6,-27.6936,30-08-17 0:00,01-09-17 0:00,East,GBC Premium Transparent Covers with Diagonal Lined Pattern,0.7
Orders_East.xlsx/Orders_East,333,US-2017-150147,Second Class,JL-15850,John Lucas,Consumer,United States,Philadelphia,Pennsylvania,19134,OFF-BI-10001153,Office Supplies,Binders,40,2,-13.816,25-04-17 0:00,29-04-17 0:00,East,Ibico Recycled Grain-Textured Covers,0.7
Orders_East.xlsx/Orders_East,334,US-2017-150147,Second Class,JL-15850,John Lucas,Consumer,United States,Philadelphia,Pennsylvania,19134,OFF-BI-10001982,Office Supplies,Binders,8,3,-3.4272,25-04-17 0:00,29-04-17 0:00,East,Wilson Jones Custom Binder Spines & Labels,0.7
Orders_East.xlsx/Orders_East,342,CA-2015-122336,Second Class,JD-15895,Jonathan Doherty,Corporate,United States,Philadelphia,Pennsylvania,19140,OFF-BI-10003656,Office Supplies,Binders,288,10,-407.976,13-04-15 0:00,17-04-15 0:00,East,Fellowes PB200 Plastic Comb Binding Machine,0.7
Orders_East.xlsx/Orders_East,387,CA-2016-122756,Standard Class,DK-13225,Dean Katz,Corporate,United States,Philadelphia,Pennsylvania,19140,TEC-MA-10001681,Technology,Machines,72,4,-337.638,03-12-16 0:00,07-12-16 0:00,East,Lexmark MarkNet N8150 Wireless Print Server,0.7
Orders_East.xlsx/Orders_East,608,US-2015-105767,Standard Class,AR-10510,Andrew Roberts,Consumer,United States,Philadelphia,Pennsylvania,19134,OFF-BI-10000848,Office Supplies,Binders,6,2,-2.6256,23-05-15 0:00,27-05-15 0:00,East,Angle-D Ring Binders,0.7
Orders_East.xlsx/Orders_East,616,CA-2018-138611,Second Class,CK-12595,Clytie Kelty,Consumer,United States,Grove City,Ohio,43123,OFF-BI-10002949,Office Supplies,Binders,45,2,-2.7968,14-11-18 0:00,17-11-18 0:00,East,Prestige Round Ring Binders,0.7
Orders_East.xlsx/Orders_East,656,CA-2017-137239,Standard Class,CR-12730,Craig Reiter,Consumer,United States,Columbus,Ohio,43229,OFF-BI-10002827,Office Supplies,Binders,30,2,-2.6544,22-08-17 0:00,28-08-17 0:00,East,Avery Durable Poly Binders,0.7
Orders_East.xlsx/Orders_East,700,CA-2016-119291,First Class,JO-15550,Jesus Ocampo,Home Office,United States,Chester,Pennsylvania,19013,OFF-BI-10001575,Office Supplies,Binders,360,2,-13.6312,14-05-16 0:00,17-05-16 0:00,East,GBC Linen Binding Covers,0.7
Orders_East.xlsx/Orders_East,701,CA-2016-119291,First Class,JO-15550,Jesus Ocampo,Home Office,United States,Chester,Pennsylvania,19013,OFF-BI-10001982,Office Supplies,Binders,22,3,-3.4272,14-05-16 0:00,17-05-16 0:00,East,Wilson Jones Custom Binder Spines & Labels,0.7
Orders_East.xlsx/Orders_East,782,US-2016-157014,Second Class,BM-11785,Bryan Mills,Consumer,United States,Columbus,Ohio,43229,OFF-BI-10001098,Office Supplies,Binders,238,5,-22.449,03-10-16 0:00,06-10-16 0:00,East,Acco D-Ring Binder w/DublLock,0.7
Orders_East.xlsx/Orders_East,819,CA-2015-140858,Standard Class,CA-12775,Cynthia Arntzen,Consumer,United States,Philadelphia,Pennsylvania,19140,OFF-BI-10003094,Office Supplies,Binders,597,3,-2.4288,28-06-15 0:00,02-07-15 0:00,East,Self-Adhesive Ring Binder Labels,0.7
Orders_East.xlsx/Orders_East,821,CA-2015-140858,Standard Class,CA-12775,Cynthia Arntzen,Consumer,United States,Philadelphia,Pennsylvania,19140,OFF-BI-10004230,Office Supplies,Binders,26,3,-22.7964,28-06-15 0:00,02-07-15 0:00,East,GBC Recycled Grain Textured Covers,0.7
Orders_East.xlsx/Orders_East,869,CA-2015-136742,Standard Class,GP-14740,Guy Phonely,Corporate,United States,Lancaster,Pennsylvania,17602,OFF-BI-10003719,Office Supplies,Binders,252,6,-35.928,06-04-15 0:00,10-04-15 0:00,East,Large Capacity Hanging Post Binders,0.7
Orders_East.xlsx/Orders_East,870,CA-2017-158099,First Class,PK-18910,Paul Knutson,Home Office,United States,Philadelphia,Pennsylvania,19143,OFF-BI-10000545,Office Supplies,Binders,37,5,-760.98,03-09-17 0:00,05-09-17 0:00,East,GBC Ibimaster 500 Manual ProClick Binding System,0.7
Orders_East.xlsx/Orders_East,879,US-2015-158638,Standard Class,AG-10765,Anthony Garverick,Home Office,United States,Philadelphia,Pennsylvania,19120,OFF-BI-10003712,Office Supplies,Binders,345,4,-4.1244,17-09-15 0:00,21-09-15 0:00,East,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Light Blue",0.7
Orders_East.xlsx/Orders_East,900,US-2017-114622,First Class,JR-16210,Justin Ritter,Corporate,United States,Springfield,Ohio,45503,OFF-BI-10004716,Office Supplies,Binders,50,2,-6.5296,10-04-17 0:00,12-04-17 0:00,East,Wilson Jones Hanging Recycled Pressboard Data Binders,0.7
Orders_East.xlsx/Orders_East,935,CA-2017-140081,Standard Class,CG-12040,Catherine Glotzbach,Home Office,United States,Philadelphia,Pennsylvania,19120,OFF-BI-10004826,Office Supplies,Binders,35,6,-21.7932,20-06-17 0:00,24-06-17 0:00,East,JM Magazine Binder,0.7
Orders_East.xlsx/Orders_East,973,CA-2015-115791,Second Class,DL-13315,Delfina Latchford,Consumer,United States,Philadelphia,Pennsylvania,19134,OFF-BI-10001575,Office Supplies,Binders,26.34,2,-13.6312,16-01-15 0:00,18-01-15 0:00,East,GBC Linen Binding Covers,0.7
Orders_East.xlsx/Orders_East,1035,CA-2017-109820,First Class,AG-10390,Allen Goldenen,Consumer,United States,Cincinnati,Ohio,45231,OFF-BI-10003460,Office Supplies,Binders,90,2,-1.9272,20-11-17 0:00,22-11-17 0:00,East,Acco 3-Hole Punch,0.7
Orders_East.xlsx/Orders_East,1036,CA-2017-109820,First Class,AG-10390,Allen Goldenen,Consumer,United States,Cincinnati,Ohio,45231,OFF-BI-10000474,Office Supplies,Binders,29.55,3,-10.5798,20-11-17 0:00,22-11-17 0:00,East,Avery Recycled Flexi-View Covers for Binding Systems,0.7
Orders_East.xlsx/Orders_East,1067,CA-2016-161263,Standard Class,TS-21160,Theresa Swint,Corporate,United States,Toledo,Ohio,43615,OFF-BI-10004330,Office Supplies,Binders,414,5,-46.225,16-04-16 0:00,21-04-16 0:00,East,"GBC Velobind Prepunched Cover Sets, Regency Series",0.7
Orders_East.xlsx/Orders_East,1070,US-2016-150161,Standard Class,RB-19795,Ross Baird,Home Office,United States,Philadelphia,Pennsylvania,19143,OFF-BI-10001524,Office Supplies,Binders,18.22,4,-18.4624,25-07-16 0:00,29-07-16 0:00,East,GBC Premium Transparent Covers with Diagonal Lined Pattern,0.7
Orders_East.xlsx/Orders_East,1214,US-2018-118087,Standard Class,SP-20620,Stefania Perrino,Corporate,United States,Philadelphia,Pennsylvania,19134,OFF-BI-10002432,Office Supplies,Binders,716,2,-2.3276,09-09-18 0:00,13-09-18 0:00,East,Wilson Jones Standard D-Ring Binders,0.7
Orders_East.xlsx/Orders_East,1215,US-2018-118087,Standard Class,SP-20620,Stefania Perrino,Corporate,United States,Philadelphia,Pennsylvania,19134,OFF-BI-10000069,Office Supplies,Binders,33.1,1,-3.6024,09-09-18 0:00,13-09-18 0:00,East,"GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb",0.7
Orders_East.xlsx/Orders_East,1321,CA-2018-167703,Standard Class,MC-17575,Matt Collins,Consumer,United States,Cincinnati,Ohio,45231,OFF-BI-10002071,Office Supplies,Binders,8,3,-4.1832,03-02-18 0:00,08-02-18 0:00,East,Fellowes Black Plastic Comb Bindings,0.7
Orders_East.xlsx/Orders_East,1449,US-2015-112564,First Class,TS-21160,Theresa Swint,Corporate,United States,Philadelphia,Pennsylvania,19134,OFF-BI-10004876,Office Supplies,Binders,74,3,-1.7514,23-04-15 0:00,24-04-15 0:00,East,Wilson Jones Suede Grain Vinyl Binders,0.7
Orders_East.xlsx/Orders_East,1630,CA-2018-101049,Second Class,AS-10240,Alan Shonely,Consumer,United States,Cleveland,Ohio,44105,OFF-BI-10001510,Office Supplies,Binders,17,6,-34.38,21-06-18 0:00,25-06-18 0:00,East,Deluxe Heavy-Duty Vinyl Round Ring Binder,0.7
Orders_East.xlsx/Orders_East,1649,CA-2016-120341,Second Class,SF-20200,Sarah Foster,Consumer,United States,Philadelphia,Pennsylvania,19143,OFF-BI-10004224,Office Supplies,Binders,36,6,-100.92,26-09-16 0:00,29-09-16 0:00,East,Catalog Binders with Expanding Posts,0.7
Orders_East.xlsx/Orders_East,1663,CA-2018-144526,Standard Class,QJ-19255,Quincy Jones,Corporate,United States,Philadelphia,Pennsylvania,19143,OFF-BI-10002353,Office Supplies,Binders,138,3,-9.264,30-04-18 0:00,06-05-18 0:00,East,GBC VeloBind Cover Sets,0.7
